codice,descrizione,quantita,
1108010Y0230,Pedale acceleratore elettrico,1,MY24
1108010Y0210,Pedale acceleratore elettrico,1,MY23
S18606002,Bullone esagonale con flangia M6,3,MY23 MY24
2801100Y0210,Assieme telaio ausiliario anteriore,1,MY23 MY22 MY22.5
2801100Y0211,Assieme telaio ausiliario anteriore,1,MY23
S18510001,Bullone esagonale con flangia,8,MY23 MY22 MY22.5 MY24
2904100Y0210,Assieme braccio oscillante anteriore,2,MY23 MY22 MY22.5 MY24
2906101Y0210,Barra stabilizzatrice anteriore,1,MY23 MY22 MY22.5 MY24
2906102-Y01,Boccola barra stabilizzatrice,2,MY23 MY22 MY22.5 MY24
2906103Y0210,Staffa montaggio barra stabilizzatrice,2,MY23 MY22 MY22.5 MY24
2906105-Y01,Boccola terminale barra stabilizzatrice,4,MY23 MY22 MY22.5 MY24
2906106Y0210,Rondella grande Ø12,2,MY23 MY24
2906107Y0210,Rondella grande Ø16,2,MY23 MY24
S33110001,Dado esagonale in metallo a coppia prevalente con flangia,2,MY23 MY22 MY22.5 MY24
S33112001,Dado esagonale in metallo a coppia prevalente con flangia,2,MY23 MY22 MY22.5 MY24
S18510006,Bullone esagonale con flangia,2,MY23 MY22 MY22.5 MY24
2904101Y0210,Assieme ammortizzatore anteriore sinistro,1,MY23 MY24
2904102Y0210,Assieme ammortizzatore anteriore destro,1,MY23 MY24
3501101-Y01,Freno anteriore sinistro con snodo sterzo,1,MY23 MY22 MY22.5
3501111-Y01,Disco freno anteriore,2,MY23 MY22 MY22.5
3501112-Y01,Snodo sterzo sinistro,1,MY23 MY22 MY22.5
3501113-Y01,Assieme pinza freno sinistra,1,MY23 MY22 MY22.5
3501118-Y01,Componente anello dentato,2,MY23 MY22 MY22.5
3501119-Y01,Bulloni limite cuscinetto,2,MY23 MY22 MY22.5
3501120-Y01,Pastiglie freno,4,MY23 MY22 MY22.5
3501115-Y01,Bullone montaggio staffa,4,MY23 MY22 MY22.5
3501102-Y01,Freno anteriore destro con snodo sterzo,1,MY23 MY22 MY22.5
3501122-Y01,Snodo sterzo destro,1,MY23 MY22 MY22.5
3501123-Y01,Assieme pinza freno destra,1,MY23 MY22 MY22.5
S18510005,Bullone esagonale con flangia,2,MY23 MY22 MY22.5 MY24
S18512001,Bullone esagonale con flangia,4,MY23 MY22 MY22.5 MY24
S32008002,Dado esagonale con flangia,4,MY23 MY22.5 MY24
2912100Y0210,Assieme asse di trasmissione posteriore,1,MY23
2912111Y0210,Tubo asse,1,MY23
2912112Y0210,Assieme trasmissione finale,1,MY23
2912113-Y01,Pinza freno sinistra,1,MY23 MY22 MY22.5
2912114-Y01,Pinza freno destra,1,MY23 MY22 MY22.5
2912129-Y01,Staffa bulloni montaggio,4,MY23 MY22 MY22.5
2912115-Y01,Pastiglie freno,4,MY23 MY22 MY22.5
2912116-Y01,Disco freno posteriore,2,MY23 MY22 MY22.5
2912119Y0210,Tappo riempimento dado,1,MY23
2912120Y0210,Tappo scarico dado,1,MY23
2912121-Y01,Valvola di sfiato,1,MY23 MY22 MY22.5
2912123-Y01,Semiasse sinistro,1,MY23 MY22 MY22.5
2912124-Y01,Semiasse destro,1,MY23 MY22 MY22.5
2912125-Y01,Paraolio semiasse,2,MY23 MY22 MY22.5
2912126Y0210,Paraolio albero ingresso,1,MY23
2912127-Y01,Anello elastico per foro,2,MY23 MY22 MY22.5
2912128-Y01,Paraspruzzi,2,MY23 MY22 MY22.5
2912118-Y01,Dado bloccaggio disco freno,2,MY23 MY22 MY22.5
Q5004036,Spina di bloccaggio,2,MY23 MY22 MY22.5
2914300Y0210,Assieme barra di spinta,2,MY23
S18512004,Bullone esagonale con flangia,6,MY23 MY22 MY22.5 MY24
S18608003,Bullone esagonale con flangia,2,MY23 MY24
2912017Y0210,Staffa montaggio motore,1,MY23 MY24
2912130-Y01,Dado esagonale con flangia,2,MY23 MY22 MY22.5
2912131-Y01,Bullone esagonale con flangia,7,MY23 MY22 MY22.5
2915100Y0210,Ammortizzatore posteriore,2,MY23 MY24
S34012001,Dadi esagonali tipo 1,2,MY23 MY22 MY22.5
S40212002,Rondella grande,2,MY23 MY22 MY22.5 MY24
S40312001,Rondella elastica,2,MY23 MY22 MY22.5
2912011Y0210,Molla elicoidale posteriore,2,MY23 MY24
2912012Y0210,Sede superiore montaggio molla posteriore,2,MY23 MY22 MY22.5 MY24
2912013Y0210,Tampone posteriore,2,MY23 MY22 MY22.5 MY24
2914200Y0210,Barra bilanciamento posteriore,1,MY23 MY24
S18512003,Bullone esagonale con flangia,1,MY23 MY22 MY22.5 MY24
Q218B0810,Viti testa cilindrica esagonale,8,MY23 MY22 MY22.5
2906108Y0210,Rondella grande Ø12,1,MY23 MY22 MY22.5
3100100-Y01,"Cerchio acciaio 14""",4,MY23 MY22 MY22.5
